Input,Mean_Abs_Weight,Max_Abs_Weight,Std,Normalized_Importance,Status
215,0.049430,0.205610,0.063852,86.28,USED
216,0.045412,0.189253,0.056118,79.26,USED
217,0.052776,0.167485,0.064214,92.12,USED
218,0.052531,0.215267,0.065835,91.69,USED
219,0.049075,0.197939,0.063442,85.66,USED
220,0.049903,0.209269,0.063903,87.10,USED
221,0.052929,0.228568,0.068419,92.39,USED
222,0.050011,0.233730,0.063980,87.29,USED
223,0.047037,0.149121,0.058361,82.10,USED
224,0.054664,0.172357,0.066489,95.41,USED
225,0.049386,0.203950,0.060965,86.20,USED
226,0.049088,0.196179,0.061752,85.68,USED
227,0.047471,0.161906,0.059961,82.86,USED
228,0.050493,0.191297,0.062595,88.13,USED
229,0.057292,0.208709,0.071285,100.00,USED
230,0.050668,0.205689,0.062415,88.44,USED
231,0.047654,0.173971,0.059829,83.18,USED
232,0.053381,0.218415,0.066355,93.17,USED
233,0.050755,0.191450,0.062400,88.59,USED
234,0.047558,0.170690,0.057763,83.01,USED
235,0.051626,0.195848,0.064726,90.11,USED
236,0.052154,0.223646,0.064298,91.03,USED
237,0.046624,0.156901,0.057589,81.38,USED
238,0.052274,0.202702,0.064718,91.24,USED
239,0.047692,0.182215,0.061156,83.24,USED
240,0.046876,0.184235,0.058887,81.82,USED
241,0.046665,0.192111,0.059971,81.45,USED
242,0.048973,0.223323,0.062349,85.48,USED
243,0.049114,0.186623,0.061914,85.73,USED
244,0.051403,0.185685,0.063082,89.72,USED
245,0.047829,0.176948,0.060079,83.48,USED
246,0.050942,0.226106,0.065857,88.92,USED
247,0.047957,0.163938,0.059571,83.71,USED
248,0.048696,0.169675,0.060237,85.00,USED
249,0.049892,0.202208,0.062760,87.08,USED
250,0.052051,0.187061,0.063145,90.85,USED
251,0.048168,0.178592,0.060928,84.07,USED
252,0.047354,0.184440,0.059032,82.65,USED
253,0.050588,0.159984,0.060582,88.30,USED
254,0.049187,0.226964,0.061424,85.85,USED
255,0.048577,0.226805,0.062298,84.79,USED
256,0.046057,0.222670,0.058328,80.39,USED
257,0.053847,0.209566,0.066740,93.99,USED
